case_id,folder,expected,actual,score,correct,status,error_code,error_message,duration_seconds,job_id,reasoning,confidence
1,project_1,APPROVED,APPROVED,0.9592,True,COMPLETED,,,220.27718567848206,a0827d2a-ab5b-4579-bbb2-0358fd1ab395,"All core requirements have been fully satisfied with correct implementation, proper error handling, and comprehensive documentation. The code passes all tests with 100% success rate and demonstrates high code quality. The minor issues are purely stylistic and do not affect functionality or correctness.",0.98
2,project_2,APPROVED,APPROVED,0.76,True,COMPLETED,,,360.4707884788513,2e007f58-f787-46b4-80e1-dbd67e4a17e2,"The core logic for grade calculation is mostly correct but contains a critical mismatch in the grade boundaries for 'A' grade which starts at 80 per requirements but is implemented as starting at 85. This violates the requirement specification. However, the implementation correctly handles all other requirements including input validation and GPA conversion. The test suite passes completely, indicating functional correctness despite the boundary issue.",0.9
3,project_3,APPROVED,APPROVED,0.9383,True,COMPLETED,,,220.28421592712402,e72d23d7-5d55-4fe4-9bb4-355bbae559b6,"The freelancer has correctly implemented all required linked list operations with proper handling of edge cases including empty lists. All tests pass, indicating correct functionality. Minor code quality issues exist but do not affect correctness or safety.",0.95
4,project_4,APPROVED,DISPUTED,0.7323,False,COMPLETED,,,215.1792242527008,aaa9427e-cfc7-49b5-8fbb-414b67a03221,"While all tests pass and the code is syntactically correct, the core logic fails to properly validate that temperatures do not go below absolute zero in all conversion directions. The kelvin_to_celsius and fahrenheit_to_kelvin functions are missing critical validation checks, which makes the implementation fundamentally flawed according to the requirements.",0.9
5,project_5,APPROVED,APPROVED,0.9381,True,COMPLETED,,,235.25465369224548,ecccddb5-29c5-4989-80e8-fb8804232d0b,All requirements were fully implemented with correct logic and error handling. The code passes all tests with 100% success rate and demonstrates good code quality with proper validation and transaction tracking. Minor style issues exist but do not affect functionality.,0.95
6,project_6,DISPUTED,DISPUTED,0.6958,True,COMPLETED,,,220.2873842716217,f61dfda7-c747-48bf-b041-bdcb88614aae,"The core logic for division and modulo operations is fundamentally flawed because it does not handle zero divisors correctly. The divide() function raises ZeroDivisionError instead of ValueError, and modulo() raises ZeroDivisionError instead of safely handling zero divisors. These are critical requirements that must be met for the code to be acceptable. While the code passes most tests and is otherwise well-structured, the failure to meet these specific requirements results in a rejection.",0.95
7,project_7,DISPUTED,DISPUTED,0.71,True,COMPLETED,,,265.3508515357971,f3303504-9a26-49bb-8f1a-eff55e99d01c,"The core logic has a major flaw in the D grade boundary condition which causes scores 50-54 to incorrectly return 'F' instead of 'D'. Additionally, input validation is incomplete as it doesn't handle non-numeric inputs. While the function passes most tests and has good code quality, these fundamental issues prevent full requirements coverage and merit a disputed verdict.",0.95
8,project_8,DISPUTED,DISPUTED,0.6066,True,COMPLETED,,,180.2488214969635,e53bccc3-9b59-4003-a6a5-28418596f8d9,"The core logic of the search method is fundamentally flawed as it skips the head node due to incorrect traversal order. Although all tests pass, they don't catch this critical bug because they likely don't test for head node search specifically. This violates the primary requirement and makes the implementation non-functional for a key use case.",0.95
9,project_9,DISPUTED,DISPUTED,0.5996,True,COMPLETED,,,225.29328155517578,5ec4ff72-28d0-4414-90b2-408fcc86b1af,"The core logic for temperature conversions is mathematically correct, but the implementation completely fails to meet the mandatory validation requirements. The functions do not raise ValueError for invalid inputs as required, which constitutes a fundamental flaw in the implementation. This is a critical issue that prevents the code from being acceptable for payment.",0.95
10,project_10,DISPUTED,DISPUTED,0.5168,True,COMPLETED,,,180.24660301208496,f141bbf2-f016-43ea-b031-ced1834d01ed,"The core logic is fundamentally wrong - the withdraw method allows overdrafts by not validating that the withdrawal amount doesn't exceed the current balance. This is a critical requirement that was completely missed, making the implementation non-functional for its primary purpose. While the code quality is decent and most tests pass, the fundamental flaw in preventing overdraft means the submission fails the acceptance criteria.",0.95
11,project_11,REJECTED,REJECTED,0.4158,True,COMPLETED,,,285.3717794418335,e085bb9c-53ef-480d-87b2-b71ebc3c91cf,"The freelancer has fundamentally misunderstood the requirements for all three core functions. The multiply, divide, and power functions are implemented with completely wrong logic, which constitutes a critical failure. The code fails basic functionality tests and does not meet any of the specified requirements.",0.95
12,project_12,REJECTED,REJECTED,0.3853,True,COMPLETED,,,365.4746379852295,f7245500-faca-4662-aa81-0c1844c3c536,"The core logic is fundamentally wrong - all grade boundaries are shifted by one level, and critical error handling is missing. The function fails to meet basic requirements and raises critical errors in test cases. This is a fundamental logic error that cannot be considered a minor issue.",0.95
13,project_13,REJECTED,REJECTED,0.3417,True,COMPLETED,,,385.504341840744,e57f9bf6-625c-4ad4-99fa-3f6d271f2cba,The core linked list functionality is fundamentally broken - both insert_at_head and insert_at_tail methods fail to properly link nodes to the list structure. This makes the entire data structure unusable and causes cascading failures in all dependent methods. The code fails to meet basic requirements and cannot be considered for payment.,0.95
14,project_14,REJECTED,REJECTED,0.3057,True,COMPLETED,,,560.7181129455566,5ca8927f-9679-4961-8e9f-0b4619db88ec,"The freelancer has fundamentally incorrect formulas for all three required temperature conversions, which are critical errors. The core logic is completely wrong, causing incorrect results for all test cases. Additionally, there's no input validation, which is a major safety concern. These issues make the code non-functional according to the requirements.",0.95
15,project_15,REJECTED,REJECTED,0.3332,True,COMPLETED,,,340.4435873031616,c92e9e10-9dcf-4e7f-9e62-4a72738eea0a,"The freelancer failed to implement any of the core validation requirements. All critical functionality is missing, including basic input validation and transaction tracking. The code allows negative balances, invalid deposits and withdrawals, and does not track transactions at all. This is a fundamental failure of the core logic, not just missing edge cases.",0.95
